Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,10.240000,10.490000,10.210000,10.430000,10.430000,43631800
2019-05-07,10.340000,10.360000,10.060000,10.110000,10.110000,56894200
2019-05-08,10.080000,10.250000,10.080000,10.160000,10.160000,47349300
2019-05-09,10.110000,10.210000,10.020000,10.040000,10.040000,59499800
2019-05-10,10.020000,10.180000,9.770000,10.130000,10.130000,63130200
2019-05-13,9.850000,10.070000,9.820000,9.870000,9.870000,60136000
2019-05-14,9.940000,10.350000,9.910000,10.320000,10.320000,70520500
2019-05-15,10.150000,10.390000,10.120000,10.260000,10.260000,53716400
2019-05-16,10.220000,10.290000,10.060000,10.130000,10.130000,54505500
2019-05-17,10.010000,10.160000,9.980000,10.000000,10.000000,37062500
2019-05-20,9.910000,10.060000,9.780000,9.880000,9.880000,52207100
2019-05-21,9.960000,9.960000,9.800000,9.960000,9.960000,60413400
2019-05-22,9.950000,10.120000,9.880000,9.900000,9.900000,51644100
2019-05-23,9.810000,9.830000,9.470000,9.560000,9.560000,56841500
2019-05-24,9.620000,9.680000,9.440000,9.450000,9.450000,47533100
2019-05-28,9.410000,9.540000,9.270000,9.360000,9.360000,72211700
2019-05-29,9.310000,9.390000,9.150000,9.370000,9.370000,44588000
2019-05-30,9.370000,9.510000,9.290000,9.470000,9.470000,50531400
2019-05-31,9.340000,9.470000,9.300000,9.440000,9.440000,46337900
2019-06-03,9.300000,9.540000,9.250000,9.530000,9.530000,47274000
2019-06-04,9.610000,10.000000,9.590000,10.000000,10.000000,61404700
2019-06-05,10.070000,10.090000,9.820000,9.890000,9.890000,41136900
